unit_sector,year,grants
ABS,2008,2483979.69
ABS,2009,2695934.34
ABS,2010,1519499.27
ABS,2011,2147256.64
ABS,2012,2037187.37
ABS,2013,1568466.28
ABS,2014,1484410.47
ABS,2015,1520139
ABS,2016,2196107
ABS,2017,2434204
CGS,2019,617646
CGS,2020,698241.71
CGS,2021,1676334.85
CGS,2022,1164047.71
DMD,2021,38705372.99
DMD,2022,109708748.26
ECRET,2021,13331167.59
ECRET,2022,50785998.57
ECRet,2018,37613811.68
ECRet,2019,57951511.62
ECRet,2020,29579399.31
ECRet,2021,32260275.2
Ecret,2020,4879.2
FDU,2019,118558259.29
FDU,2020,105152548.25
FDU,2021,92275256.32
FOU,2021,23993002
FOU,2022,70375055
FSC,2012,251376.32
FSC,2013,285108.89
FSC,2014,339909.02
FSC,2015,580336
FSC,2016,873381
FSC,2017,1189901
FSC,2018,1927722
FSC,2019,1626011
FSC,2020,1675477.52
FSC,2021,1966458
IFC,2019,64919.78
IFC,2020,146055
IFC,2022,21896.88
LBS,2008,3050316.23
LBS,2009,5813092.28
LBS,2010,6524082.5
LBS,2011,10567488.31
LBS,2012,11695059.81
LBS,2013,7110628.04
LBS,2014,7307421.12
LBS,2015,8431350
LBS,2016,14188780
LBS,2017,15906501
LBS/ ROS,2011,44602.58
LES,2022,93456.2
ORD,2018,120581768.92
ORD,2019,221354
PRS,2008,59202.57000000001
PRS,2009,267145.51
PRU,2010,3347777.68
PRU,2011,2682319.92
PRU,2013,193651.85
PRU,2014,177379.91
PRU,2015,344098
PRU,2016,12000
PRU,2017,679156
PRU,2018,336482
RAU,2008,61176.58
RAU,2009,24488.64
RDU,2012,21087.27
RDU,2017,532943
RIU,2019,138675
RIU,2020,181168.8
ROS,2008,2562839.86
ROS,2009,5309353.46
ROS,2010,9378321.81
ROS,2011,11653039.39
ROS,2012,10752367.17
ROS,2013,8371322.22
ROS,2014,8792783.03
ROS,2015,11935950
RSU,2016,42475111
RSU,2017,54917693
RSU,2018,18292279.33
SBS,2008,28788196.28
SBS,2009,28896003.13
SBS,2010,31955517.02
SBS,2011,46312898.87
SBS,2012,28323972.09
SBS,2013,23415320.84
SBS,2014,32633278.67
SBS,2015,67840850
SBS,2016,112859333
SBS,2017,118188796
SBS,2018,17800.52
TF Deploy,2020,9194344
TF Deploy,2021,2260285.14
TRU,2016,117321
TRU,2017,673992
TRU,2018,273548.36
TRU,2019,453933.16000000003
TRU,2020,7207328.67
TRU,2021,4192114.09
TRU,2022,10379516.71
aSBS,2009,1049715.48
lBS,2011,91220
NA,2019,8020
